patient	well_fov	input_subparent_name	mask_subparent_name
NF0014_T1	E5-2	zstack_images	segmentation_masks
NF0014_T1	D5-2	zstack_images	segmentation_masks
NF0014_T1	G6-1	zstack_images	segmentation_masks
NF0014_T1	G8-1	zstack_images	segmentation_masks
NF0014_T1	C9-2	zstack_images	segmentation_masks
NF0014_T1	F4-2	zstack_images	segmentation_masks
NF0014_T1	D9-1	zstack_images	segmentation_masks
NF0014_T1	E2-2	zstack_images	segmentation_masks
NF0014_T1	C5-2	zstack_images	segmentation_masks
NF0014_T1	E10-2	zstack_images	segmentation_masks
NF0014_T1	C6-1	zstack_images	segmentation_masks
NF0014_T1	D3-1	zstack_images	segmentation_masks
NF0014_T1	G9-1	zstack_images	segmentation_masks
NF0014_T1	F11-2	zstack_images	segmentation_masks
NF0014_T1	C3-2	zstack_images	segmentation_masks
NF0014_T1	E3-1	zstack_images	segmentation_masks
NF0014_T1	D2-2	zstack_images	segmentation_masks
NF0014_T1	G6-2	zstack_images	segmentation_masks
NF0014_T1	G11-2	zstack_images	segmentation_masks
NF0014_T1	E6-2	zstack_images	segmentation_masks
NF0014_T1	F2-1	zstack_images	segmentation_masks
NF0014_T1	D6-1	zstack_images	segmentation_masks
NF0014_T1	C6-2	zstack_images	segmentation_masks
NF0014_T1	F9-2	zstack_images	segmentation_masks
NF0014_T1	F3-1	zstack_images	segmentation_masks
NF0014_T1	E11-1	zstack_images	segmentation_masks
NF0014_T1	F4-1	zstack_images	segmentation_masks
NF0014_T1	D7-1	zstack_images	segmentation_masks
NF0014_T1	F10-2	zstack_images	segmentation_masks
NF0014_T1	D6-2	zstack_images	segmentation_masks
NF0014_T1	D2-3	zstack_images	segmentation_masks
NF0014_T1	C3-1	zstack_images	segmentation_masks
NF0014_T1	G10-3	zstack_images	segmentation_masks
NF0014_T1	C2-1	zstack_images	segmentation_masks
NF0014_T1	C2-2	zstack_images	segmentation_masks
NF0014_T1	G2-2	zstack_images	segmentation_masks
NF0014_T1	E8-2	zstack_images	segmentation_masks
NF0014_T1	D7-2	zstack_images	segmentation_masks
NF0014_T1	G8-2	zstack_images	segmentation_masks
NF0014_T1	F2-2	zstack_images	segmentation_masks
NF0014_T1	F8-1	zstack_images	segmentation_masks
NF0014_T1	G4-2	zstack_images	segmentation_masks
NF0014_T1	G7-2	zstack_images	segmentation_masks
NF0014_T1	F5-2	zstack_images	segmentation_masks
NF0014_T1	F11-1	zstack_images	segmentation_masks
NF0014_T1	G4-1	zstack_images	segmentation_masks
NF0014_T1	E8-1	zstack_images	segmentation_masks
NF0014_T1	D3-2	zstack_images	segmentation_masks
NF0014_T1	D11-2	zstack_images	segmentation_masks
NF0014_T1	D5-1	zstack_images	segmentation_masks
NF0014_T1	F10-1	zstack_images	segmentation_masks
NF0014_T1	G3-2	zstack_images	segmentation_masks
NF0014_T1	C9-1	zstack_images	segmentation_masks
NF0014_T1	D9-2	zstack_images	segmentation_masks
NF0014_T1	C8-2	zstack_images	segmentation_masks
NF0014_T1	F9-1	zstack_images	segmentation_masks
NF0014_T1	G9-2	zstack_images	segmentation_masks
NF0014_T1	G2-1	zstack_images	segmentation_masks
NF0014_T1	F6-2	zstack_images	segmentation_masks
NF0014_T1	C8-1	zstack_images	segmentation_masks
NF0014_T1	F4-3	zstack_images	segmentation_masks
NF0014_T1	F5-1	zstack_images	segmentation_masks
NF0014_T1	G7-1	zstack_images	segmentation_masks
NF0014_T1	E7-2	zstack_images	segmentation_masks
NF0014_T1	C4-1	zstack_images	segmentation_masks
NF0014_T1	G3-1	zstack_images	segmentation_masks
NF0014_T1	D8-2	zstack_images	segmentation_masks
NF0014_T1	C10-1	zstack_images	segmentation_masks
NF0014_T1	D11-1	zstack_images	segmentation_masks
NF0014_T1	E3-2	zstack_images	segmentation_masks
NF0014_T1	E11-2	zstack_images	segmentation_masks
NF0014_T1	E6-1	zstack_images	segmentation_masks
NF0014_T1	D10-1	zstack_images	segmentation_masks
NF0014_T1	C11-1	zstack_images	segmentation_masks
NF0014_T1	C7-1	zstack_images	segmentation_masks
NF0014_T1	F6-1	zstack_images	segmentation_masks
NF0014_T1	F7-2	zstack_images	segmentation_masks
NF0014_T1	E5-1	zstack_images	segmentation_masks
